dataset,llm,method,n_expert,sRMSE,sRMSE_se,standardized_bias,bias_se,n_reps,phase
fomc,deepseek,llm_only,,0.210744,0.0,0.210744,0.0,300,prevalence
fomc,deepseek,expert_only,20.0,0.235473,0.013583,0.009703,0.013583,300,prevalence
fomc,deepseek,expert_only,26.0,0.18864,0.010891,0.001965,0.010891,300,prevalence
fomc,deepseek,expert_only,33.0,0.180569,0.010415,0.007903,0.010415,300,prevalence
fomc,deepseek,expert_only,43.0,0.146709,0.008463,-0.00613,0.008463,300,prevalence
fomc,deepseek,expert_only,56.0,0.137336,0.007923,0.005558,0.007923,300,prevalence
fomc,deepseek,expert_only,72.0,0.112035,0.006459,-0.005995,0.006459,300,prevalence
fomc,deepseek,expert_only,93.0,0.105017,0.006057,-0.004595,0.006057,300,prevalence
fomc,deepseek,expert_only,120.0,0.090529,0.005225,-0.002485,0.005225,300,prevalence
fomc,deepseek,expert_only,155.0,0.074409,0.004291,-0.003753,0.004291,300,prevalence
fomc,deepseek,expert_only,200.0,0.065687,0.003765,0.007952,0.003765,300,prevalence
fomc,deepseek,dsl,20.0,0.234718,0.013538,0.010295,0.013538,300,prevalence
fomc,deepseek,dsl,26.0,0.178839,0.010325,0.001037,0.010325,300,prevalence
fomc,deepseek,dsl,33.0,0.157042,0.00904,0.012042,0.00904,300,prevalence
fomc,deepseek,dsl,43.0,0.122457,0.007066,-0.004235,0.007066,300,prevalence
fomc,deepseek,dsl,56.0,0.112708,0.006503,0.00407,0.006503,300,prevalence
fomc,deepseek,dsl,72.0,0.095774,0.005528,0.002423,0.005528,300,prevalence
fomc,deepseek,dsl,93.0,0.086276,0.004974,-0.004672,0.004974,300,prevalence
fomc,deepseek,dsl,120.0,0.074613,0.004307,0.00134,0.004307,300,prevalence
fomc,deepseek,dsl,155.0,0.059788,0.003438,-0.0054,0.003438,300,prevalence
fomc,deepseek,dsl,200.0,0.053662,0.003094,0.002619,0.003094,300,prevalence
fomc,deepseek,ppi,20.0,0.201678,0.011606,0.01621,0.011606,300,prevalence
fomc,deepseek,ppi,26.0,0.158742,0.009142,0.011112,0.009142,300,prevalence
fomc,deepseek,ppi,33.0,0.152091,0.008716,0.018526,0.008716,300,prevalence
fomc,deepseek,ppi,43.0,0.121289,0.007002,0.001403,0.007002,300,prevalence
fomc,deepseek,ppi,56.0,0.112603,0.006483,0.008411,0.006483,300,prevalence
fomc,deepseek,ppi,72.0,0.094922,0.005473,0.004815,0.005473,300,prevalence
fomc,deepseek,ppi,93.0,0.08662,0.004998,-0.002832,0.004998,300,prevalence
fomc,deepseek,ppi,120.0,0.074853,0.004319,0.002494,0.004319,300,prevalence
fomc,deepseek,ppi,155.0,0.059443,0.003423,-0.004291,0.003423,300,prevalence
fomc,deepseek,ppi,200.0,0.053478,0.00308,0.003792,0.00308,300,prevalence
fomc,deepseek,ppipp,20.0,0.203074,0.011712,0.009423,0.011712,300,prevalence
fomc,deepseek,ppipp,26.0,0.161339,0.00931,0.005106,0.00931,300,prevalence
fomc,deepseek,ppipp,33.0,0.156664,0.009018,0.011992,0.009018,300,prevalence
fomc,deepseek,ppipp,43.0,0.125703,0.007255,-0.003086,0.007255,300,prevalence
fomc,deepseek,ppipp,56.0,0.11918,0.006871,0.006315,0.006871,300,prevalence
fomc,deepseek,ppipp,72.0,0.098295,0.005675,-0.001043,0.005675,300,prevalence
fomc,deepseek,ppipp,93.0,0.091641,0.005286,-0.004017,0.005286,300,prevalence
fomc,deepseek,ppipp,120.0,0.079414,0.004585,-0.000267,0.004585,300,prevalence
fomc,deepseek,ppipp,155.0,0.063703,0.00367,-0.004164,0.00367,300,prevalence
fomc,deepseek,ppipp,200.0,0.056808,0.003263,0.005767,0.003263,300,prevalence
