dataset,theta,llm,b0 (intercept),b1,b2,b3,b4,b5
cuad,theta_star,—,0.4275,-0.2383,0.5196,0.0333,-0.3165,2.8751
cuad,theta_llm,llama,0.3219,0.0352,0.4928,0.0827,-0.2138,3.0653
cuad,theta_llm,deepseek,0.2348,-0.1184,0.4798,0.0467,-0.2282,2.877
cuad,theta_llm,gpt54,0.3459,-0.239,0.4858,0.0712,-0.2319,2.9356
cuad,theta_llm,mistral,0.4854,0.0787,0.456,0.1079,-0.2647,2.9426
cuad,theta_llm,claude,0.3385,-0.1382,0.5234,0.0703,-0.2295,2.8171
fomc,theta_star,—,-0.0938,-0.0252,-0.0739,0.3062,-0.5765,-0.0477
fomc,theta_llm,llama,0.2852,-0.0623,-0.0831,0.2183,-0.4481,-0.0373
fomc,theta_llm,deepseek,0.3683,-0.0676,0.1716,0.2775,-0.5757,-0.1095
fomc,theta_llm,gpt54,-0.3198,-0.0403,-0.0981,0.3414,-0.6207,0.0431
fomc,theta_llm,mistral,-1.387,-0.1007,-0.1476,0.4163,-0.455,-0.0531
fomc,theta_llm,claude,-0.4252,-0.1601,-0.1967,0.2289,-0.5161,0.0489
misogynistic,theta_star,—,1.5994,0.0042,-0.0891,7.1866,1.9013,-0.2259
misogynistic,theta_llm,llama,0.5282,-0.6367,-0.0836,0.5772,2.0991,-0.1226
misogynistic,theta_llm,deepseek,0.6489,-0.8929,-0.0678,0.5968,2.442,-0.1976
misogynistic,theta_llm,gpt54,-0.6935,-0.2742,-0.0043,0.5148,0.9929,-0.2333
misogynistic,theta_llm,mistral,0.3101,-0.4203,-0.1076,0.3619,1.192,-0.0872
misogynistic,theta_llm,claude,0.2347,-0.4029,-0.0173,0.4026,2.2075,-0.103
vuamc,theta_star,—,-2.4827,4.0596,0.1272,-2.3183,-0.3168,-2.9492
vuamc,theta_llm,llama,0.9453,1.9623,0.125,0.0179,-0.0376,0.156
vuamc,theta_llm,deepseek,-1.0447,1.1622,0.4172,0.1084,-0.0533,-0.8186
vuamc,theta_llm,gpt54,-1.1155,1.8047,0.5854,-1.1185,-0.1396,-1.1812
vuamc,theta_llm,mistral,-0.2,1.317,0.0458,0.1965,-0.0246,-0.4962
vuamc,theta_llm,claude,-1.3956,1.9507,0.5747,-1.2505,-0.1324,-1.2198
