dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
cuad,llama,llm_only,,0.147484,0.0,0.093475,0.0,300,300,full_logistic
cuad,llama,expert_only,20.0,1.01631,0.019771,3.283652,0.491716,300,300,full_logistic
cuad,llama,expert_only,26.0,0.949946,0.019807,2.876835,0.403103,300,300,full_logistic
cuad,llama,expert_only,33.0,0.880214,0.020295,2.424866,0.342004,300,300,full_logistic
cuad,llama,expert_only,43.0,0.747403,0.017365,1.291669,0.267523,300,300,full_logistic
cuad,llama,expert_only,56.0,0.715969,0.019546,1.753486,0.226553,300,300,full_logistic
cuad,llama,expert_only,72.0,0.609349,0.017182,1.126697,0.17057,300,300,full_logistic
cuad,llama,expert_only,93.0,0.540888,0.014952,0.795392,0.150299,300,300,full_logistic
cuad,llama,expert_only,120.0,0.486037,0.015396,0.523424,0.10841,300,300,full_logistic
cuad,llama,expert_only,155.0,0.387446,0.010826,0.409177,0.09468,300,300,full_logistic
cuad,llama,expert_only,200.0,0.339512,0.00984,0.212821,0.065773,300,300,full_logistic
cuad,llama,dsl,20.0,0.832079,0.00404,-0.50563,0.116771,300,300,full_logistic
cuad,llama,dsl,26.0,0.798154,0.003689,-0.323636,0.097288,300,300,full_logistic
cuad,llama,dsl,33.0,0.784181,0.00183,-0.481454,0.04721,300,300,full_logistic
cuad,llama,dsl,43.0,0.788564,0.001688,-0.553441,0.045409,300,300,full_logistic
cuad,llama,dsl,56.0,0.781363,0.001262,-0.429149,0.037899,300,300,full_logistic
cuad,llama,dsl,72.0,0.782888,0.001214,-0.55195,0.032978,300,300,full_logistic
cuad,llama,dsl,93.0,0.782964,0.000985,-0.578538,0.029258,300,300,full_logistic
cuad,llama,dsl,120.0,0.782222,0.000868,-0.537591,0.024519,300,300,full_logistic
cuad,llama,dsl,155.0,0.779753,0.000812,-0.537595,0.021823,300,300,full_logistic
cuad,llama,dsl,200.0,0.780619,0.000695,-0.582805,0.020425,300,300,full_logistic
cuad,llama,ppi,20.0,0.71764,0.006853,-0.630837,0.104223,300,300,full_logistic
cuad,llama,ppi,26.0,0.710587,0.00529,-0.745941,0.091431,300,300,full_logistic
cuad,llama,ppi,33.0,0.692659,0.004084,-0.479412,0.048028,300,300,full_logistic
cuad,llama,ppi,43.0,0.699222,0.003597,-0.599779,0.05548,300,300,full_logistic
cuad,llama,ppi,56.0,0.684617,0.002955,-0.477272,0.04359,300,300,full_logistic
cuad,llama,ppi,72.0,0.692478,0.002889,-0.58758,0.038666,300,300,full_logistic
cuad,llama,ppi,93.0,0.693522,0.002422,-0.591568,0.030534,300,300,full_logistic
cuad,llama,ppi,120.0,0.69344,0.002133,-0.552482,0.028571,300,300,full_logistic
cuad,llama,ppi,155.0,0.688886,0.001956,-0.556395,0.024947,300,300,full_logistic
cuad,llama,ppi,200.0,0.690326,0.001761,-0.588566,0.023187,300,300,full_logistic
